"Número Licitação";"Número Processo";"Objeto";"Modalidade Compra";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Município";"Data PublicaçãoDOU";"Data Abertura";"Valor Licitação"
"000022019";"23209000091201961";"Objeto: Pagamento de anuidade 2019 do Campus Bambuí, junto ao Conselho Regional de Química de Minas Gerais.";"Inexigibilidade de Licitação";"Encerrado";"26000";"Ministério da Educação";"26409";"Instituto Federal de Educação, Ciência e Tecn";"158275";"INST.FED.MINAS GERAIS/CAMPUS BAMBUÍ";"BAMBUI";"01/01/1900";"";"982,00"
"000022019";"req 001 fisc adm";"Objeto: Compreende o valor das apropriações de despesas correntes c/ aquisição de passagens. 33.90.33-01";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160245";"POLICLINICA MILITAR DE NITEROI";"NITEROI";"01/01/1900";"";"1098,14"
"000012019";"47774000060201953";"Objeto: Aquisição de água mineral, natural, potável, sem gás, acondicionada em garrafão com capacidade de 20 litros, fornecido em regime de comodato e fabricado em material em policarbonato, higiênico, atóxico e reciclável, com tampa e lacre intactos e com rótulo que contenha as informações sobre o produto (data de validade, nome da fonte), para atender a demanda das Gerencias Regionais do Trabalho em Uberaba/MG, Montes Claros/MG e Curvelo/MG, no ano de 2019. O fornecimento deverá ser semanal,";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"38901";"Fundo de Amparo ao Trabalhador";"380941";"SUPERINTENDÊNCIA REGIONAL DO TRABALHO/MG";"BELO HORIZONTE";"01/01/1900";"";"4776,00"
"000012019";"67206007975201861";"Objeto: Pregão Eletrônico -  Aquisição de Gêneros Alimentícios";"Pregão - Registro de Preço";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120641";"GRUPAMENTO DE APOIO DE PORTO VELHO";"PORTO VELHO";"04/01/2019";"16/01/2019";"48150,00"
"000012019";"01/2019";"Objeto: Aquisição de passagens aéreas em território nacional.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160324";"INSTITUTO DE BIOLOGIA DO EXERCITO";"RIO DE JANEIRO";"01/01/1900";"";"912,64"
"000022019";"23088001083201955";"Objeto: Taxa de publicação de artigo científico em periódico internacional.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26261";"Universidade Federal de Itajubá";"153030";"UNIVERSIDADE FEDERAL DE ITAJUBA";"ITAJUBA";"01/01/1900";"";"2732,33"
"000012019";"10465100393201884";"Objeto: Pregão Eletrônico -  A escolha da proposta mais vantajosa para a contratação de serviços de manutenção preventiva e corretiva, com cobertura de peças, em elevadores, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.";"Pregão";"Publicado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170064";"SUPERINTENDêNCIA DE ADMINISTRAçãO DO MF/AL";"MACEIO";"24/01/2019";"05/02/2019";"14359,20"
"000032019";"46242001324201851";"Objeto: Contratação de empresa especializada para prestar serviços de dedetização na GRTb/Uberaba e AR/Araxá.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"38901";"Fundo de Amparo ao Trabalhador";"380941";"SUPERINTENDÊNCIA REGIONAL DO TRABALHO/MG";"BELO HORIZONTE";"01/01/1900";"";"2680,00"
"000062019";"33374189044201818";"Objeto: Dispositivo para isolamento pulmonar para colocação intuitiva dos balões no brônquio direito ou esquerdo nos procedimentos que requerem ventilação/ lúmen central";"Dispensa de Licitação";"Encerrado";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"250042";"HOSPITAL FEDERAL DE BONSUCESSO";"RIO DE JANEIRO";"01/01/1900";"14/01/2019";"1290,00"
"000102019";"01093/3100/2018";"Objeto: Pregão Eletrônico -  Seleção e contratação de empresa especializada para prestação de serviços (Contratação de empresa com utilização de cartão magnético e controle (autogestão) com sistema informatizado via internet envolvendo fornecimento de abastecimento de combustível e derivados), para atender a frota da Secretaria da Segurança Pública   SSP";"Pregão";"Evento de Suspensão Divulgado";"99900";"República Federativa do Brasil";"93720";"Estado de Tocantins";"925957";"SECRETARIA DA SEG.PÚBLICA DO ESTADO DO TO";"Inválido";"01/01/1900";"";"0,00"
"155742018";"PE0038155574";"Objeto: Pregão Eletrônico -  Reforma e Revitalização da estação repetidora de telecomunicações de Tailândia-PA";"Pregão";"Publicado";"32000";"Ministério de Minas e Energia";"91081";"Empresas de Energia";"910809";"CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A";"BRASILIA";"14/01/2019";"25/01/2019";"0,00"
"000012019";"01450004858201845";"Objeto: Contratação do Serviço Federal de Processamento de Dados - SERPRO para prestar serviços especializados em Tecnologia da Informação para manutenção, produção e hospedagem de um sistema informatizado de Gestão de Materiais de Consumo e de Materiais de Natureza Permanente.";"Dispensa de Licitação";"Evento de Revogação Publicado";"55000";"Ministério da Cidadania";"20411";"Instituto do Patrimônio Histórico e Artístico";"343026";"IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA";"BRASILIA";"06/02/2019";"";"48875,70"
"000012019";"23096.217594/2018";"Objeto: Serviços de recepção de evento com fornecimento de espaço físico";"Inexigibilidade de Licitação";"Publicado";"26000";"Ministério da Educação";"26252";"Universidade Federal de Campina Grande";"158195";"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE";"CAMPINA GRANDE";"10/01/2019";"";"21000,00"
"000072018";"64254.004450/2018";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para a prestação de serviços de outsourcing de impressão para atender as necessidades do Colégio Militar de Juiz de Fora";"Pregão";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160110";"COLEGIO MILITAR DE JUIZ DE FORA";"JUIZ DE FORA";"28/12/2018";"22/01/2019";"39000,00"
"000012019";"23491011413201878";"Objeto: Contratação de empresa especializada na prestação de serviços de limpeza de poços artesianos para o IFCE Campus Tianguá.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26405";"Instituto Federal de Educação, Ciência e Tecn";"158956";"CAMPUS TIANGUA/IFCE";"TIANGUA";"01/01/1900";"";"1400,00"
"000082019";"25382100022/19-71";"Objeto: Termômetro Digital:dimensões:diâmetro 60mm, profundidade 40mm; Alimentação direta: Bivolt 115 e 220Vac (60Hz);Temperatura de controle:-50 a 105ºC;Resolução:0.1ºC;Corrente máxima(*):16(8)A/250Vac 1HP; Temperatura de operação:0 a 60ºC;Umidade de operação: 10 a 90% UR(sem condensação)- (*) A corrente máxima 16(8)A, significa que são: 16A para cargas tipo resistivas e 8A para cargas tipo indutivas";"Dispensa de Licitação";"Encerrado";"36000";"Ministério da Saúde";"36201";"Fundação Oswaldo Cruz";"254421";"INSTITUTO AGGEU MAGALHAES";"RECIFE";"01/01/1900";"31/01/2019";"398,99"
"001022018";"003.0.33613/2018";"Objeto: Pregão Eletrônico -  Armários (baixo, alto, para pasta suspensa, alto com 4 prateleiras e escaninho).";"Pregão - Registro de Preço";"Divulgado";"99900";"República Federativa do Brasil";"94920";"Estado da Bahia";"926302";"PROCURADORIA GERAL DE JUSTICA DA BAHIA";"Inválido";"01/01/1900";"22/01/2019";"9940,00"
"000082019";"DGPM-03";"Objeto: Material de Limpeza para a Cozinha.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"760000";"DIRETORIA-GERAL DO PESSOAL DA MARINHA";"RIO DE JANEIRO";"01/01/1900";"";"1314,02"
